"Year","Cruise","Season","Line","Station","SpeciesName","presence","effort"
2011,"CC1104","Spring",87,80,"Humpback whale",3,3
2012,"CC1210","Fall",87,80,"Blue whale",1,3
2005,"CC0501","Winter",87,90,"Humpback whale",2,4
2005,"CC0507","Summer",87,90,"Blue whale",3,3
2006,"CC0602","Winter",87,90,"Humpback whale",3,3
2006,"CC0604","Spring",87,90,"Humpback whale",2,3
2006,"CC0611","Fall",87,90,"Blue whale",1,3
2006,"CC0611","Fall",87,90,"Fin whale",2,3
2009,"CC0903","Spring",87,90,"Humpback whale",3,3
2010,"CC1001","Winter",87,90,"Fin whale",4,4
2010,"CC1001","Winter",87,90,"Humpback whale",4,4
2011,"CC1104","Spring",87,90,"Humpback whale",3,3
2011,"CC1110","Fall",87,90,"Blue whale",2,4
2011,"CC1110","Fall",87,90,"Fin whale",3,4
2011,"CC1110","Fall",87,90,"Humpback whale",2,4
2012,"CC1202","Winter",87,90,"Fin whale",4,7
2012,"CC1202","Winter",87,90,"Humpback whale",4,7
2012,"CC1207","Summer",87,90,"Blue whale",1,3
2012,"CC1207","Summer",87,90,"Fin whale",1,3
2012,"CC1210","Fall",87,90,"Humpback whale",2,3
2004,"CC0407","Summer",87,45,"Blue whale",1,4
2004,"CC0411","Fall",87,45,"Fin whale",4,4
2005,"CC0504","Spring",87,45,"Humpback whale",2,4
2005,"CC0507","Summer",87,45,"Blue whale",1,4
2005,"CC0507","Summer",87,45,"Humpback whale",3,4
2005,"CC0511","Fall",87,45,"Blue whale",2,3
2006,"CC0607","Summer",87,45,"Fin whale",1,4
2007,"CC0704","Spring",87,45,"Fin whale",3,3
2007,"CC0704","Spring",87,45,"Humpback whale",2,3
2010,"CC1001","Winter",87,45,"Fin whale",3,3
2010,"CC1001","Winter",87,45,"Blue whale",1,3
2010,"CC1008","Summer",87,45,"Blue whale",1,5
2010,"CC1008","Summer",87,45,"Fin whale",2,5
2010,"CC1008","Summer",87,45,"Humpback whale",2,5
2012,"CC1203","Spring",87,45,"Fin whale",3,3
2012,"CC1210","Fall",87,45,"Blue whale",3,4
2012,"CC1210","Fall",87,45,"Fin whale",1,4
2004,"CC0411","Fall",87,55,"Fin whale",4,5
2005,"CC0501","Winter",87,55,"Fin whale",3,3
2005,"CC0501","Winter",87,55,"Blue whale",2,3
2005,"CC0507","Summer",87,55,"Blue whale",3,4
2005,"CC0507","Summer",87,55,"Fin whale",4,4
2006,"CC0602","Winter",87,55,"Fin whale",1,4
2006,"CC0604","Spring",87,55,"Fin whale",2,4
2006,"CC0604","Spring",87,55,"Humpback whale",1,4
2006,"CC0611","Fall",87,55,"Blue whale",3,3
2006,"CC0611","Fall",87,55,"Fin whale",3,3
2007,"CC0711","Fall",87,55,"Blue whale",4,4
2007,"CC0711","Fall",87,55,"Fin whale",4,4
2007,"CC0711","Fall",87,55,"Humpback whale",1,4
